steps,updates,minutes,decisions_per_s,eps_mean,loss,q_mean,games,practice_score,practice_level
12220960,760686,120.63,1734,0.0718,0.32016,18.57,8980,14104.6,3.47
12267456,763592,121.13,1550,0.0718,0.31734,18.614,9011,13867.3,3.47
12318848,766804,121.63,1713,0.0718,0.32351,18.726,9047,14394.8,3.68
12371472,770093,122.13,1754,0.0718,0.3276,18.864,9085,14027.5,3.51
12424256,773392,122.63,1759,0.0718,0.32613,19.003,9125,14219.9,3.5
12478176,776762,123.13,1797,0.0718,0.32948,18.958,9160,14292.4,3.47
12525040,779691,123.63,1562,0.0718,0.31543,18.944,9201,13552.8,3.3
12574496,782782,124.13,1648,0.0718,0.32109,18.758,9235,13795.6,3.39
12628320,786146,124.63,1794,0.0718,0.32497,18.796,9269,13435.8,3.3
12680160,789386,125.13,1728,0.0718,0.31039,18.554,9303,14381.8,3.6
12730848,792554,125.63,1689,0.0718,0.3057,18.662,9336,13706.5,3.49
12777872,795493,126.13,1567,0.0718,0.3027,18.849,9369,14782.6,3.72
12831280,798831,126.63,1780,0.0718,0.29965,18.821,9402,14699.9,3.68
12882704,802045,127.13,1714,0.0718,0.31211,18.796,9437,15220.8,3.81
12933360,805211,127.63,1688,0.0718,0.30997,18.657,9473,14361.1,3.61
12984864,808430,128.13,1716,0.0718,0.31797,18.749,9509,14242.7,3.57
13032400,811401,128.63,1585,0.0718,0.31538,18.798,9541,14389.9,3.5
13082864,814555,129.13,1682,0.0718,0.32001,18.825,9576,15032.6,3.65
13135184,817825,129.63,1744,0.0718,0.32699,18.806,9608,14942.3,3.62
13186432,821028,130.13,1708,0.0718,0.32163,18.869,9642,14887.9,3.64
13239472,824343,130.63,1768,0.0718,0.32785,18.799,9678,14779.5,3.63
13287504,827345,131.13,1601,0.0718,0.33648,18.747,9707,14947.7,3.65
13340240,830641,131.63,1758,0.0718,0.31932,18.742,9742,15258.3,3.76
13392944,833935,132.13,1757,0.0718,0.32483,18.816,9773,15410.1,3.82
13444864,837180,132.63,1730,0.0718,0.31943,18.758,9804,15683.5,3.93
13497568,840474,133.13,1756,0.0718,0.32252,18.975,9837,15640.3,3.95
13544288,843394,133.63,1557,0.0718,0.30809,19.222,9871,15494.3,3.97
